begin_time,close_time,status,gender,birth_year,phone_type,stop_point,customer_id
3/1/2024 9:32,3/1/2024 9:32,pending,,NA,Apple,data-privacy-rejected,9134
3/1/2024 9:23,3/1/2024 9:23,fail,F,1998,Apple,ocr-failed,9134
3/1/2024 9:32,3/1/2024 9:32,pending,,NA,Apple,data-privacy-rejected,9134
3/1/2024 9:55,3/1/2024 9:55,pending,F,1998,Apple,ocr-failed,9134
3/1/2024 9:27,3/1/2024 9:27,fail,F,1998,Apple,ocr-failed,9134
3/6/2024 19:39,3/6/2024 19:39,fail,,NA,,contract-agreement-rejected,9133
3/6/2024 19:36,3/6/2024 19:40,succeed,F,1993,Apple,account-creation,9133
2/29/2024 14:36,2/29/2024 14:38,succeed,F,1987,Apple,account-creation,9132
2/29/2024 13:53,2/29/2024 13:54,pending,,NA,Apple,otp-failed,9131
2/29/2024 8:51,2/29/2024 17:55,succeed,F,1988,Apple,account-creation,9130
2/28/2024 18:33,2/28/2024 18:34,pending,,NA,samsung,otp-failed,9129
3/1/2024 10:20,3/4/2024 16:29,succeed,M,1978,samsung,account-creation,9129
2/28/2024 19:46,2/28/2024 19:49,fail,M,1978,samsung,ocr-failed,9129
3/1/2024 10:03,3/1/2024 10:04,fail,F,1988,Apple,ocr-failed,9128
3/1/2024 10:07,3/1/2024 10:09,fail,F,1988,Apple,ocr-failed,9128
3/4/2024 17:17,3/4/2024 17:21,succeed,F,1988,Apple,account-creation,9128
3/4/2024 8:25,3/4/2024 8:28,succeed,M,1982,Apple,account-creation,9127
3/1/2024 8:32,3/1/2024 8:33,pending,F,1998,Apple,ocr-failed,9126
3/1/2024 11:55,3/1/2024 11:56,pending,F,1998,Apple,ocr-failed,9126
3/1/2024 7:58,3/1/2024 7:59,pending,F,1998,Apple,ocr-failed,9126
2/29/2024 14:10,2/29/2024 14:11,pending,F,1998,Apple,ocr-failed,9126
2/29/2024 11:16,2/29/2024 11:16,pending,,NA,Apple,otp-failed,9126
3/1/2024 18:00,3/1/2024 18:03,succeed,F,1998,Apple,account-creation,9126
2/29/2024 14:09,2/29/2024 14:10,pending,F,1998,Apple,ocr-failed,9126
3/1/2024 11:55,3/1/2024 11:55,pending,,NA,Apple,data-privacy-rejected,9126
3/1/2024 8:35,3/1/2024 8:35,pending,F,1998,Apple,ocr-failed,9126
3/1/2024 8:05,3/1/2024 8:05,pending,F,1998,Apple,ocr-failed,9126
3/1/2024 11:50,3/1/2024 11:51,pending,F,1998,Apple,ocr-failed,9126
2/29/2024 14:11,2/29/2024 14:14,succeed,F,1986,Apple,account-creation,9125
3/4/2024 8:36,3/4/2024 8:39,succeed,F,1994,Apple,account-creation,9124
3/3/2024 17:25,3/3/2024 17:26,pending,F,1994,Apple,ocr-failed,9124
3/2/2024 9:36,3/2/2024 9:36,pending,,NA,Apple,otp-failed,9124
3/3/2024 21:18,3/3/2024 21:24,pending,F,1994,Apple,ocr-failed,9124
3/3/2024 21:25,3/3/2024 21:25,pending,F,1994,Apple,ocr-failed,9124
2/29/2024 19:20,2/29/2024 19:20,pending,,NA,Apple,otp-failed,9124
2/29/2024 19:19,2/29/2024 19:19,pending,,NA,Apple,data-privacy-rejected,9124
3/2/2024 9:37,3/2/2024 9:37,pending,,NA,Apple,otp-failed,9124
2/29/2024 8:41,2/29/2024 8:43,succeed,M,1990,Apple,account-creation,9123
3/1/2024 8:14,3/1/2024 8:19,succeed,M,1989,samsung,account-creation,9122
2/29/2024 13:52,2/29/2024 13:52,pending,,NA,samsung,otp-failed,9122
2/29/2024 13:45,2/29/2024 13:51,pending,M,1989,samsung,ocr-failed,9122
2/29/2024 13:47,2/29/2024 13:47,pending,,NA,Apple,otp-failed,9121
2/29/2024 13:51,2/29/2024 13:53,succeed,M,1990,Apple,account-creation,9121
3/1/2024 9:02,3/1/2024 9:02,pending,,NA,OPPO,otp-failed,9120
3/1/2024 11:45,3/1/2024 11:49,succeed,M,1986,OPPO,account-creation,9120
2/29/2024 19:22,2/29/2024 19:26,succeed,M,1990,Apple,account-creation,9119
3/1/2024 14:08,3/5/2024 15:47,succeed,M,2000,Apple,account-creation,9118
3/1/2024 14:05,3/1/2024 14:08,pending,M,2000,Apple,bank-check-failed,9118
1/28/2024 22:28,1/28/2024 22:29,succeed,F,1994,,account-creation,9117
1/28/2024 22:27,1/28/2024 22:27,pending,,NA,,otp-failed,9117
3/1/2024 14:44,3/1/2024 14:49,succeed,M,1984,Apple,account-creation,9116
3/7/2024 11:14,3/7/2024 11:14,fail,,NA,,contract-agreement-rejected,9115
3/7/2024 11:11,3/7/2024 11:15,succeed,F,1989,samsung,account-creation,9115
3/6/2024 17:40,3/6/2024 17:40,pending,,NA,samsung,otp-failed,9115
3/1/2024 9:55,3/1/2024 9:57,succeed,F,1987,Apple,account-creation,9114
2/29/2024 16:50,2/29/2024 16:50,pending,,NA,Apple,data-privacy-rejected,9114
2/29/2024 16:55,2/29/2024 16:55,pending,,NA,Apple,data-privacy-rejected,9114
2/29/2024 16:51,2/29/2024 16:51,pending,,NA,Apple,data-privacy-rejected,9114
2/29/2024 17:00,2/29/2024 17:00,pending,,NA,Apple,data-privacy-rejected,9114
2/29/2024 10:06,2/29/2024 10:06,pending,,NA,Apple,data-privacy-rejected,9114
2/29/2024 16:50,2/29/2024 16:50,pending,,NA,Apple,data-privacy-rejected,9114
3/15/2024 18:04,3/15/2024 18:06,fail,,NA,Apple,ocr-failed,9113
2/29/2024 8:12,2/29/2024 8:12,pending,,NA,Apple,otp-failed,9113
2/28/2024 18:38,2/28/2024 18:38,pending,,NA,Apple,otp-failed,9113
3/19/2024 11:16,3/19/2024 11:17,pending,M,1992,Apple,ocr-failed,9113
3/11/2024 20:02,3/11/2024 20:02,pending,,NA,Apple,otp-failed,9113
3/19/2024 11:12,3/19/2024 11:16,pending,M,1992,Apple,ocr-failed,9113
3/6/2024 17:34,3/6/2024 17:34,fail,,NA,,contract-agreement-rejected,9112
3/7/2024 13:53,3/7/2024 13:53,fail,,NA,,bank-check-failed,9112
3/6/2024 17:33,3/7/2024 18:53,succeed,M,1994,Apple,account-creation,9112
3/6/2024 17:21,3/6/2024 17:22,fail,M,1994,Apple,ocr-failed,9112
3/25/2024 10:36,3/25/2024 10:37,pending,M,1983,samsung,ocr-failed,9111
3/2/2024 12:37,3/2/2024 12:38,pending,F,1989,Apple,selfie-failed,9110
3/2/2024 12:41,3/2/2024 12:41,fail,F,1989,Apple,otp-failed,9110
2/29/2024 13:46,2/29/2024 13:46,pending,,NA,Apple,otp-failed,9110
2/29/2024 13:43,2/29/2024 13:45,pending,F,1989,Apple,ocr-failed,9110
3/2/2024 12:42,3/2/2024 12:42,fail,F,1989,,selfie-failed,9110
3/13/2024 15:01,3/13/2024 15:01,fail,,NA,,contract-agreement-rejected,9110
3/13/2024 15:13,3/13/2024 15:13,fail,,NA,,bank-check-failed,9110
3/13/2024 14:58,3/13/2024 15:19,succeed,F,1989,Apple,account-creation,9110
3/1/2024 10:11,3/1/2024 10:11,pending,,NA,Apple,otp-failed,9109
3/1/2024 15:15,3/1/2024 15:18,succeed,F,1984,Apple,account-creation,9109
3/1/2024 14:57,3/1/2024 14:59,succeed,M,1990,Apple,account-creation,9108
2/29/2024 14:06,2/29/2024 14:11,succeed,F,1986,Apple,account-creation,9107
2/29/2024 11:31,2/29/2024 11:33,fail,F,1984,samsung,ocr-failed,9106
2/29/2024 11:33,2/29/2024 11:37,succeed,F,1984,samsung,account-creation,9106
2/28/2024 15:40,2/28/2024 15:42,fail,F,1985,Apple,ocr-failed,9105
2/28/2024 15:42,2/28/2024 15:44,succeed,F,1985,Apple,account-creation,9105
3/5/2024 14:46,3/5/2024 14:46,pending,,NA,Apple,otp-failed,9104
3/6/2024 9:21,3/6/2024 9:21,fail,,NA,,contract-agreement-rejected,9104
3/6/2024 9:15,3/6/2024 9:21,succeed,F,1991,Apple,account-creation,9104
3/1/2024 17:12,3/1/2024 17:12,pending,,NA,samsung,otp-failed,9103
3/1/2024 9:41,3/1/2024 9:42,pending,,NA,Apple,otp-failed,9103
3/1/2024 9:02,3/1/2024 9:02,pending,,NA,samsung,otp-failed,9103
3/1/2024 9:07,3/1/2024 9:07,pending,,NA,samsung,otp-failed,9103
3/1/2024 17:19,3/1/2024 17:20,pending,,NA,samsung,otp-failed,9103
3/1/2024 17:30,3/1/2024 17:30,pending,,NA,samsung,otp-failed,9103
3/1/2024 17:10,3/1/2024 17:10,pending,,NA,samsung,otp-failed,9103
3/1/2024 15:26,3/1/2024 15:26,pending,,NA,samsung,otp-failed,9103
3/1/2024 17:23,3/1/2024 17:23,pending,,NA,samsung,otp-failed,9103
3/1/2024 15:29,3/1/2024 15:29,pending,,NA,samsung,otp-failed,9103
3/1/2024 9:24,3/1/2024 9:24,pending,,NA,samsung,otp-failed,9103
3/1/2024 9:43,3/1/2024 9:44,fail,F,1988,Apple,ocr-failed,9103
3/1/2024 8:39,3/1/2024 8:39,pending,,NA,samsung,data-privacy-rejected,9103
3/1/2024 17:33,3/1/2024 17:33,pending,,NA,Apple,otp-failed,9103
3/1/2024 9:01,3/1/2024 9:01,pending,,NA,samsung,otp-failed,9103
3/1/2024 9:30,3/1/2024 9:30,pending,,NA,samsung,otp-failed,9103
3/1/2024 9:39,3/1/2024 9:39,pending,,NA,samsung,otp-failed,9103
3/1/2024 18:49,3/1/2024 18:52,succeed,F,1988,Apple,account-creation,9103
3/1/2024 10:27,3/1/2024 10:27,pending,,NA,Apple,otp-failed,9102
3/1/2024 11:31,3/1/2024 11:33,succeed,F,1989,Apple,account-creation,9102
2/2/2024 15:28,2/2/2024 15:28,fail,,NA,,cif-creation-failed,9101
2/2/2024 15:26,2/2/2024 15:28,succeed,M,1997,,account-creation,9101
2/29/2024 20:33,2/29/2024 20:36,succeed,F,1985,Apple,account-creation,9100
3/1/2024 9:53,3/1/2024 9:59,fail,F,1980,Apple,ocr-failed,9099
3/1/2024 9:59,3/1/2024 9:59,pending,,NA,Apple,data-privacy-rejected,9099
3/1/2024 10:06,3/1/2024 10:07,fail,F,1980,Apple,ocr-failed,9099
3/1/2024 10:08,3/1/2024 10:09,fail,F,1980,Apple,ocr-failed,9099
3/4/2024 14:32,3/4/2024 14:36,succeed,F,1980,Apple,account-creation,9099
3/1/2024 9:33,3/1/2024 9:33,pending,,NA,Apple,data-privacy-rejected,9099
3/1/2024 9:51,3/1/2024 9:51,pending,,NA,Apple,data-privacy-rejected,9099
2/1/2024 19:19,2/1/2024 19:21,succeed,F,1991,Apple,account-creation,9098
1/29/2024 14:02,1/29/2024 14:02,pending,,NA,,otp-failed,9098
2/28/2024 15:40,2/28/2024 15:46,succeed,F,1983,Apple,account-creation,9097
1/30/2024 17:15,1/30/2024 17:15,pending,,NA,,otp-failed,9096
1/30/2024 17:17,1/30/2024 17:18,succeed,F,1987,,account-creation,9096
1/29/2024 15:15,1/29/2024 15:17,succeed,F,1987,,account-creation,9095
1/29/2024 15:14,1/29/2024 15:14,pending,,NA,,otp-failed,9095
3/1/2024 9:09,3/2/2024 23:14,succeed,F,1988,Apple,account-creation,9094
2/29/2024 13:48,2/29/2024 13:48,pending,,NA,Apple,otp-failed,9094
2/29/2024 14:05,2/29/2024 14:06,fail,,NA,Apple,ocr-failed,9094
2/29/2024 13:51,3/1/2024 16:23,succeed,F,1992,Apple,account-creation,9093
1/30/2024 17:17,1/30/2024 17:19,succeed,M,1983,,account-creation,9092
1/30/2024 17:15,1/30/2024 17:15,pending,,NA,,otp-failed,9092
2/28/2024 15:35,2/28/2024 15:39,succeed,M,1978,samsung,account-creation,9091
1/27/2024 19:12,1/27/2024 19:14,succeed,M,1991,,account-creation,9090
1/27/2024 19:10,1/27/2024 19:10,pending,,NA,,otp-failed,9090
1/27/2024 16:36,1/27/2024 16:36,pending,,NA,,otp-failed,9090
3/14/2024 13:43,3/14/2024 13:43,fail,,NA,,contract-agreement-rejected,9089
3/14/2024 13:54,3/14/2024 13:54,fail,,NA,,bank-check-failed,9089
3/14/2024 13:39,3/14/2024 15:43,succeed,M,1983,Apple,account-creation,9089
2/28/2024 16:17,2/28/2024 16:20,succeed,M,1967,Apple,account-creation,9088
2/28/2024 16:16,2/28/2024 16:16,pending,,NA,Apple,otp-failed,9088
2/28/2024 16:14,2/28/2024 16:14,pending,,NA,Apple,data-privacy-rejected,9088
2/28/2024 16:13,2/28/2024 16:13,pending,,NA,Apple,otp-failed,9088
3/7/2024 11:20,3/7/2024 11:21,fail,,NA,Apple,ocr-failed,9087
3/7/2024 15:10,3/7/2024 15:10,fail,,NA,,contract-agreement-rejected,9087
3/7/2024 15:08,3/7/2024 15:10,succeed,M,1987,Apple,account-creation,9087
3/7/2024 11:18,3/7/2024 11:20,fail,M,1987,Apple,ocr-failed,9087
3/7/2024 10:16,3/7/2024 11:18,pending,M,1987,Apple,ocr-failed,9087
3/7/2024 14:37,3/7/2024 14:38,fail,M,1987,Apple,ocr-failed,9087
3/7/2024 14:38,3/7/2024 14:39,fail,M,1987,Apple,ocr-failed,9087
3/2/2024 20:27,3/2/2024 20:27,pending,,NA,Apple,data-privacy-rejected,9086
3/2/2024 20:39,3/2/2024 20:39,fail,F,1992,Apple,ocr-failed,9086
3/2/2024 20:33,3/2/2024 20:34,fail,F,1992,Apple,ocr-failed,9086
3/2/2024 20:32,3/2/2024 20:33,fail,F,1992,Apple,ocr-failed,9086
3/2/2024 20:38,3/2/2024 20:38,fail,F,1992,Apple,ocr-failed,9086
3/2/2024 20:41,3/2/2024 20:42,fail,F,1992,Apple,ocr-failed,9086
3/2/2024 21:57,3/2/2024 22:01,succeed,F,1992,Apple,account-creation,9086
3/22/2024 15:53,3/22/2024 15:54,fail,,NA,,contract-agreement-rejected,9085
3/22/2024 15:52,3/22/2024 15:54,succeed,M,1992,Apple,account-creation,9085
3/1/2024 15:02,3/1/2024 15:02,pending,M,1992,Apple,ocr-failed,9085
3/1/2024 9:44,3/1/2024 9:45,pending,M,1992,Apple,ocr-failed,9085
3/1/2024 15:03,3/1/2024 15:04,pending,M,1992,Apple,ocr-failed,9085
3/1/2024 15:05,3/1/2024 15:05,pending,M,1992,Apple,ocr-failed,9085
3/1/2024 15:06,3/1/2024 15:07,pending,M,1992,Apple,ocr-failed,9085
3/1/2024 9:47,3/1/2024 9:48,pending,M,1992,Apple,ocr-failed,9085
3/1/2024 9:46,3/1/2024 9:46,pending,M,1992,Apple,ocr-failed,9085
3/1/2024 9:46,3/1/2024 9:47,pending,M,1992,Apple,ocr-failed,9085
3/3/2024 14:16,3/3/2024 14:20,succeed,F,1997,Apple,account-creation,9084
3/1/2024 19:25,3/1/2024 19:26,fail,F,1997,Apple,ocr-failed,9084
3/3/2024 12:13,3/3/2024 12:13,pending,,NA,Apple,otp-failed,9084
3/1/2024 19:23,3/1/2024 19:23,pending,,NA,Apple,otp-failed,9084
2/15/2024 12:22,2/15/2024 12:23,succeed,F,1991,samsung,account-creation,9083
2/5/2024 19:13,2/5/2024 19:16,succeed,F,2000,Apple,account-creation,9082
2/2/2024 15:16,2/2/2024 15:16,pending,,NA,Apple,otp-failed,9082
3/3/2024 20:57,3/3/2024 20:57,pending,,NA,vivo,data-privacy-rejected,9081
2/2/2024 17:01,2/2/2024 17:01,pending,,NA,vivo,otp-failed,9081
2/21/2024 8:00,2/21/2024 8:02,fail,M,1979,vivo,ocr-failed,9081
2/21/2024 7:54,2/21/2024 7:54,pending,,NA,vivo,otp-failed,9081
3/3/2024 20:54,3/3/2024 20:56,fail,,NA,vivo,ocr-failed,9081
3/3/2024 20:58,3/3/2024 20:58,pending,,NA,vivo,data-privacy-rejected,9081
3/3/2024 21:00,3/3/2024 21:05,succeed,M,1979,vivo,account-creation,9081
2/29/2024 23:13,3/4/2024 11:17,succeed,M,1992,Apple,account-creation,9080
2/1/2024 19:18,2/1/2024 19:22,succeed,F,2001,Apple,account-creation,9079
2/1/2024 19:16,2/1/2024 19:18,fail,F,2001,Apple,ocr-failed,9079
3/9/2024 17:44,3/9/2024 17:48,pending,F,1993,Apple,selfie-failed,9078
3/1/2024 10:06,3/1/2024 10:07,fail,,NA,Apple,ocr-failed,9078
3/5/2024 15:32,3/5/2024 15:32,pending,,NA,Apple,otp-failed,9078
2/29/2024 16:06,3/1/2024 9:56,succeed,F,1995,Apple,account-creation,9077
2/29/2024 15:53,2/29/2024 15:53,pending,,NA,Apple,otp-failed,9077
2/2/2024 12:05,2/2/2024 12:05,pending,,NA,Apple,otp-failed,9076
2/2/2024 12:05,2/2/2024 17:08,succeed,F,1995,Apple,account-creation,9076
2/19/2024 14:17,2/19/2024 14:21,succeed,M,1995,Apple,account-creation,9075
3/4/2024 11:28,3/4/2024 11:28,pending,,NA,Apple,otp-failed,9074
3/4/2024 11:30,3/4/2024 11:30,fail,F,1996,Apple,ocr-failed,9074
1/31/2024 8:15,1/31/2024 8:15,pending,,NA,,otp-failed,9074
3/2/2024 20:58,3/2/2024 21:01,succeed,F,2000,Apple,account-creation,9073
2/29/2024 13:59,2/29/2024 14:02,succeed,M,2000,Apple,account-creation,9072
2/2/2024 9:06,2/2/2024 9:09,succeed,M,1984,Apple,account-creation,9071
2/2/2024 9:04,2/2/2024 9:06,fail,M,1984,Apple,ocr-failed,9071
1/30/2024 17:47,1/30/2024 17:49,succeed,F,1983,,account-creation,9070
1/30/2024 17:46,1/30/2024 17:46,pending,,NA,,otp-failed,9070
2/2/2024 9:17,2/2/2024 9:22,succeed,M,1993,Apple,account-creation,9069
3/20/2024 15:45,3/20/2024 15:47,fail,,NA,,contract-agreement-rejected,9068
3/20/2024 15:41,3/20/2024 15:47,succeed,M,2001,Apple,account-creation,9068
2/29/2024 14:46,2/29/2024 14:52,succeed,F,2000,Apple,account-creation,9067
1/31/2024 10:04,1/31/2024 10:04,fail,,NA,,contract-agreement-rejected,9066
1/31/2024 10:02,1/31/2024 10:04,succeed,F,2000,,account-creation,9066
2/29/2024 22:00,3/7/2024 18:44,succeed,M,1992,Apple,account-creation,9065
2/29/2024 21:57,2/29/2024 21:58,fail,M,1992,Apple,ocr-failed,9065
2/29/2024 21:47,2/29/2024 21:50,succeed,F,2001,Apple,account-creation,9064
3/1/2024 12:40,3/1/2024 12:40,pending,,NA,Apple,otp-failed,9063
3/1/2024 13:33,3/1/2024 13:36,pending,F,2000,Apple,ocr-failed,9063
3/2/2024 23:16,3/2/2024 23:19,succeed,F,2000,Apple,account-creation,9063
3/3/2024 10:53,3/3/2024 10:55,succeed,F,1999,Apple,account-creation,9062
3/6/2024 14:30,3/6/2024 14:30,fail,,NA,,cif-creation-failed,9061
3/6/2024 14:10,3/6/2024 14:30,succeed,F,1979,Apple,account-creation,9061
1/30/2024 17:30,1/30/2024 17:32,succeed,F,1982,,account-creation,9060
1/30/2024 17:28,1/30/2024 17:29,pending,,NA,,otp-failed,9060
3/14/2024 13:44,3/14/2024 13:44,fail,,NA,,contract-agreement-rejected,9059
3/14/2024 13:42,3/14/2024 13:45,succeed,F,1985,Apple,account-creation,9059
2/29/2024 20:36,2/29/2024 20:39,succeed,F,1994,Apple,account-creation,9058
2/29/2024 20:36,2/29/2024 20:36,pending,,NA,Apple,data-privacy-rejected,9058
3/6/2024 15:44,3/6/2024 15:47,fail,M,1992,Apple,ocr-failed,9057
3/6/2024 15:47,3/6/2024 15:48,fail,M,1992,Apple,ocr-failed,9057
3/6/2024 15:50,3/6/2024 15:51,fail,M,1992,Apple,ocr-failed,9057
3/8/2024 7:34,3/8/2024 7:34,fail,,NA,,contract-agreement-rejected,9057
3/8/2024 7:32,3/8/2024 7:34,succeed,M,1992,Apple,account-creation,9057
1/31/2024 8:35,1/31/2024 8:35,fail,,NA,,cif-creation-failed,9056
1/31/2024 8:31,1/31/2024 15:02,succeed,M,1981,,account-creation,9056
3/1/2024 9:23,3/1/2024 9:26,succeed,M,1995,Apple,account-creation,9055
2/15/2024 12:40,2/15/2024 12:43,pending,M,1995,Apple,bank-check-failed,9055
3/1/2024 9:21,3/1/2024 9:21,pending,,NA,Apple,data-privacy-rejected,9055
3/1/2024 9:01,3/1/2024 9:01,pending,,NA,samsung,data-privacy-rejected,9054
3/1/2024 9:01,3/1/2024 9:01,pending,,NA,samsung,data-privacy-rejected,9054
3/1/2024 9:04,3/1/2024 9:04,pending,,NA,samsung,phone-failed,9054
3/1/2024 9:03,3/1/2024 9:03,pending,,NA,samsung,data-privacy-rejected,9054
3/1/2024 9:05,3/1/2024 9:05,pending,,NA,samsung,phone-failed,9054
3/1/2024 9:01,3/1/2024 9:01,pending,,NA,samsung,data-privacy-rejected,9054
3/1/2024 9:08,3/1/2024 9:08,pending,,NA,samsung,phone-failed,9054
3/1/2024 12:57,3/1/2024 12:57,pending,,NA,samsung,otp-failed,9054
3/1/2024 9:26,3/1/2024 9:26,pending,,NA,samsung,phone-failed,9054
2/29/2024 13:46,2/29/2024 13:46,pending,,NA,samsung,otp-failed,9054
2/29/2024 13:51,2/29/2024 13:51,pending,,NA,samsung,otp-failed,9054
3/1/2024 9:03,3/1/2024 9:03,pending,,NA,samsung,phone-failed,9054
3/1/2024 9:11,3/1/2024 9:11,pending,,NA,samsung,phone-failed,9054
3/1/2024 9:25,3/1/2024 9:25,pending,,NA,samsung,phone-failed,9054
3/1/2024 8:58,3/1/2024 9:00,fail,,NA,samsung,ocr-failed,9054
3/1/2024 9:24,3/1/2024 9:24,pending,,NA,samsung,phone-failed,9054
3/1/2024 9:01,3/1/2024 9:01,pending,,NA,samsung,data-privacy-rejected,9054
3/1/2024 9:05,3/1/2024 9:05,pending,,NA,samsung,phone-failed,9054
3/1/2024 14:43,3/5/2024 18:08,succeed,M,1982,samsung,account-creation,9054
3/1/2024 16:17,3/1/2024 16:20,succeed,F,1984,Apple,account-creation,9053
3/4/2024 12:09,3/4/2024 12:09,fail,,NA,,contract-agreement-rejected,9052
3/4/2024 12:07,3/4/2024 12:09,succeed,M,1995,Apple,account-creation,9052
3/4/2024 9:29,3/4/2024 9:29,pending,,NA,Apple,otp-failed,9051
3/4/2024 13:27,3/4/2024 13:30,succeed,M,1989,Apple,account-creation,9051
3/1/2024 9:05,3/1/2024 9:12,succeed,F,1986,Apple,account-creation,9050
3/1/2024 14:34,3/5/2024 16:21,succeed,M,1989,Apple,account-creation,9049
3/14/2024 15:28,3/14/2024 15:28,fail,,NA,,cif-creation-failed,9048
3/14/2024 15:26,3/14/2024 15:29,succeed,F,1997,samsung,account-creation,9048
3/6/2024 21:11,3/6/2024 21:11,fail,,NA,,contract-agreement-rejected,9047
3/6/2024 21:08,3/6/2024 21:12,succeed,F,1985,samsung,account-creation,9047
3/1/2024 18:18,3/1/2024 18:18,pending,,NA,samsung,otp-failed,9047
3/1/2024 10:20,3/1/2024 10:25,succeed,F,1990,samsung,account-creation,9046
3/1/2024 10:12,3/1/2024 10:12,pending,,NA,Apple,otp-failed,9045
3/15/2024 23:36,3/15/2024 23:36,fail,,NA,,contract-agreement-rejected,9045
3/15/2024 23:35,3/15/2024 23:37,succeed,F,1986,Apple,account-creation,9045
3/2/2024 12:26,3/2/2024 12:26,pending,,NA,Apple,otp-failed,9044
3/3/2024 9:12,3/3/2024 9:13,pending,F,1982,Apple,ocr-failed,9044
3/2/2024 12:25,3/2/2024 12:26,pending,F,1982,Apple,ocr-failed,9044
3/1/2024 9:05,3/1/2024 9:07,pending,F,1982,Apple,ocr-failed,9044
3/1/2024 9:08,3/1/2024 9:09,pending,F,1982,Apple,ocr-failed,9044
3/7/2024 17:04,3/7/2024 17:05,pending,F,1982,Apple,ocr-failed,9044
3/7/2024 17:06,3/7/2024 17:07,pending,F,1982,Apple,ocr-failed,9044
3/3/2024 9:14,3/3/2024 9:15,pending,F,1982,Apple,ocr-failed,9044
2/1/2024 11:19,2/1/2024 11:27,succeed,F,1984,Apple,account-creation,9043
